ETIQUETA	CATEGORIAS	SITIO	DUREZA	AREAF	AFE	RENDIMIENTO	safrol	b-cariofileno	D-germacreno	b-elemeno	bicilogermacreno	miristicina	a-copaeno	TR-45.65	espatulenol	TR-40.5	a-humuleno	TR-45.01	TR-46.29	oxido de cariofileno	TR-60.15	TR-45.58	TR-44.97	TR-49.22	TR-44.83	b-pineno	TR-56.62	g-Terpineno	TR-46.22	a-pineno	TR-55.85	TR-50.77	d-carene	TR-56.2
HUC1	HUC	CULINARIO	HUERTO	9.127725	472.7016667	307.3398869	0.4549	46.347	9.952	9.783	2.496	3.654	3.268	2.558	1.68	1.928	1.905	1.209	1.155	1.044	0.864	2.255	0.896	0.797	0.579	0.364	0.1	0.447	0.522	0.297	0	0.167	0.345	0.091	0.109
HUC2	HUC	CULINARIO	HUERTO	7.32335	410.85	330.6931603	0.2874	64.496	7.331	5.616	2.269	2.063	1.854	1.671	1.278	1.057	1.041	0.927	0.847	0.757	0.696	0.68	0.609	0.501	0.393	0.369	0.33	0.308	0.308	0.21	0.102	0.094	0.094	0.066	0.039
HUC3	HUC	CULINARIO	HUERTO	18.06458333	525.6616667	300.9182725	0.5048	42.851	9.84	9.277	2.739	3.921	2.217	2.055	1.935	3.186	1.899	1.326	1.067	1.338	1.394	1.804	0.915	0.843	0.976	0.357	0.125	1.317	0.095	0.376	0	0.162	0.371	0	0.173
HUC4	HUC	CULINARIO	HUERTO	8.834525	386.52	307.8712451	0.7374	34.311	13.974	10.409	3.135	3.991	3.358	3.397	1.364	2.481	2.059	1.697	0.999	1.355	1.316	4.79	0.924	0.62	0.715	0.882	0	0.305	0	0.103	0	0.245	0.226	0	0.063
HUC5	HUC	CULINARIO	HUERTO	6.43956	505.435	348.3961686	0.2435	37.105	9.678	8.58	2.739	3.46	3.66	2.307	2.011	4.082	1.629	1.357	1.674	1.482	2.161	3.769	1.249	1.031	1.074	0.61	0	0.71	0	0.395	0	0.223	0.351	0	0.196
HUC6	HUC	CULINARIO	HUERTO	10.210125	387.11	264.1823036	0.9063	38.32	9.267	9.767	2.864	2.388	4.158	2.115	0	3.06	1.931	1.316	1.266	1.236	1.343	3.335	0.816	0.637	1.006	0.544	0.124	0.644	0.182	0.292	0	0.111	0.352	0.028	0.304
HUC7	HUC	CULINARIO	HUERTO	10.2395	523.5	419.5017292	0.2103	44.721	6.697	5.91	2.416	2.491	0.081	0	1.378	3.214	1.083	1.029	0	1.018	1.519	3.039	0.599	5.571	0.97	0.258	0	0.068	0	6.404	0	0.781	0.365	0	0.375
HUC8	HUC	CULINARIO	HUERTO	11.735435	569.015	400.1163597	0.2567	66.872	6.092	5.45	2.105	2.017	1.842	0	0.998	2.119	0.939	0.812	0.253	0.557	1.561	0.701	0.548	0.451	0.586	0.573	0	0.592	0	0.214	0	0.16	0.433	0	0.101
HUC9	HUC	CULINARIO	HUERTO	13.81890833	362.995	338.2930538	0.2738	33.587	12.635	10.877	3.092	2.544	2.95	2.474	0.952	2.154	2.193	1.677	2.188	1.812	1.123	3.32	0.342	0.82	0.842	0.724	0	0.375	0	0.296	0	0.34	0.189	0	0.243
HUC10	HUC	CULINARIO	HUERTO	13.091075	606.5983333	231.8939892	0.6366	51.115	5.648	7.218	2.339	2.848	0	1.359	1.327	1.911	1.39	0.949	0	0.734	1.053	3.613	0.324	0.397	0.781	0.397	0	0.286	0.058	5.893	0	0.299	0.245	0	0.067
HUC11	HUC	CULINARIO	HUERTO	19.54874286	458.3483333	278.2018282	0.407	45.871	9.403	9.097	2.877	1.736	2.38	2.301	0	2.657	0.041	1.291	1.119	1.12	1.288	0.896	0.877	0.986	0.8	0.535	0	1.119	0.161	0.391	0	0.097	0.325	0	1.119
HUC12	HUC	CULINARIO	HUERTO	12.5091	661.3433333	382.6748916	0.2289	14.899	13.318	12.041	3.526	3.19	5.782	3.046	1.059	4.744	2.517	1.834	2.024	2.068	2.047	6.22	0	1.708	1.331	0.899	0.036	0.684	0	0.464	0	0.197	0.326	0	0.314
HUC13	HUC	CULINARIO	HUERTO	16.093375	414.555	365.4876689	0.0924	58.095	9.202	6.461	2.475	2.501	2.464	1.803	1.458	0.959	1.433	1.12	0.404	0.91	0.424	1.171	0.737	0.488	0.462	1.782	0	0.375	0.197	0.268	0	0.168	0.198	0	0.245
HUC14	HUC	CULINARIO	HUERTO	7.41995	467.7966667	328.8900429	0.2421	26.074	12.695	11.071	3.371	4.541	3.602	2.863	2.199	2.978	2.254	1.665	0.563	1.61	1.111	7	1.108	1.08	1.248	1.349	0	0.892	0.246	0.363	0	0.845	0.362	0	0.853
HUC15	HUC	CULINARIO	HUERTO	10.20136667	524.105	330.5477472	0.1948	53.953	7.541	6.45	2.853	1.489	0.088	2.251	0	2.495	1.281	0.959	0.15	0.888	1.296	0.497	0.49	0.326	0.677	0.239	0.676	0.721	0.923	0.677	0.127	0.08	0.28	0.235	0.231
HUM1	HUM	MEDICINAL	HUERTO	7.663733333	86.13	436.4745788	0.8868	29.558	17.687	11.389	2.839	4.273	1.764	3.401	1.928	2.232	3.067	1.924	1.149	1.388	1.45	1.671	1.189	0.843	1.395	0.594	0	0.695	0.316	0.238	0.222	0.787	0.097	0	0.611
HUM2	HUM	MEDICINAL	HUERTO	9.0555	85.22833333	448.7047495	0.7258	42.616	12.796	8.173	3.074	3.175	1.864	1.76	2.099	1.126	2.3	1.625	0.86	1.453	0.863	0.738	0.768	1.381	0.866	0.635	0.061	2.494	0.048	0.428	0	0.856	0.26	0	0.442
HUM3	HUM	MEDICINAL	HUERTO	16.00556667	129.9833333	276.5386838	0.4229	27.087	13.88	8.191	2.641	2.288	3.259	3.464	1.846	6.902	1.209	1.703	1.679	1.453	2.086	2.46	0.617	1.679	3.226	0.475	0	0.78	0	0.415	0	2.138	0.338	0	1.164
HUM4	HUM	MEDICINAL	HUERTO	6.72035	105.3766667	363.2881283	1.8382	66.853	9.762	4.682	1.661	1.765	1.937	0	0.618	0.404	1.528	0.966	0.597	0.44	0.34	0.518	0.4	1.189	0.466	0.334	0	0.152	0.472	0.062	0.326	0.623	0	0.087	0.079
HUM5	HUM	MEDICINAL	HUERTO	3.22975	78.14333333	438.5416423	0.2704	21.847	10.454	8.963	2.755	4.164	4.151	1.59	2.14	3.745	2.149	1.4	1.849	1.936	1.886	5.637	1.347	0.556	2.316	0.498	0	6.118	0	0.553	0	0.742	0.581	0	1.834
HUM6	HUM	MEDICINAL	HUERTO	8.474425	87.98	433.837644	1.2853	44.647	13.51	6.132	2.35	1.684	2.632	2.779	1.171	4.535	1.417	1.519	0.152	1.141	1.213	1.108	0.353	0.868	2.983	1.271	0	0.25	0	0.213	0	2.126	0.115	0	0.661
HUM7	HUM	MEDICINAL	HUERTO	11.328575	59.42	363.6597733	0.1182	1.129	0.627	0.859	0.703	0.349	6.067	0	0.821	5.803	0	0.394	0	0	2.09	3.122	2.583	20.26	4.03	0	0	18.183	0	1.148	0	9.82	1.08	0	10.682
HUM8	HUM	MEDICINAL	HUERTO	8.355275	104.2433333	442.942233	0.1546	56.719	5.801	1.211	1.478	0	4.903	0	0	3.361	0.866	0.849	0.027	0.918	1.799	3.323	0.7	0.886	1.192	4.447	0	0.738	0	0.186	0	3.368	0	0	1.269
HUM9	HUM	MEDICINAL	HUERTO	10.06194167	80.51666667	381.600467	0.0781	26.894	14.832	10.94	3.722	2.448	4.166	2.189	0.994	1.974	3.093	1.881	2.591	1.821	1.092	2.61	0.395	0.691	1.475	0.764	0	0.65	0	0.574	0	0.504	0.161	0	0.406
